personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
FEMALE,0,17,0.28894034,0.073718995,-15.5161495,23.33437055,746,2713.997091,1912.901764,23,-0.26,-1.65E-05,-0.5,0.499983504,0.32841834,0.57191779,6.17E-06,-3.01E-05,4.54E-05,-0.42246246,0.013478055,0.129116369,2409.011301,21.17900788,0.029631319
FEMALE,0,18,0.3213444,0.2905741,-6.4932256,23.09567022,1655,2002.356017,3431.662515,18,-0.19,-1.33E-17,-0.49998937,0.49998937,0.23191132,0.264989767,-0.000187856,0.003509249,0.000272609,-0.06295504,0.013551524,0.095258967,1511.515512,20.48961346,0.027494501
FEMALE,0,19,0.2596703,0.4585528,-12.659617,24.61011076,743,2534.882408,3117.10496,24.5,-0.26,0,-0.499986077,0.499986077,0.17357033,0.121804292,1.96E-05,0.000763878,7.75E-05,-0.027673183,0.016307656,0.130469382,2287.780889,22.06593822,0.016039558
FEMALE,0,20,0.36425054,0.21330509,-10.056876,26.76100254,1076,2848.226902,3283.428853,20,0.06,4.69E-18,-0.499989687,0.499989687,0.20985225,0.226127266,-2.54E-06,-0.00058349,4.15E-05,-0.010968407,0.01740057,0.163361533,2640.972899,20.94854582,0.012690452
FEMALE,0,21,0.34620744,0.18629779,-12.195185,32.0452286,3202,3256.060204,2493.264652,4,0.25,-1.59E-05,-0.5,0.499984105,0.24391834,0.372706688,-8.74E-05,0.020757385,0.000192666,-0.074853666,0.13472804,0.951691826,3338.467301,23.69817983,0.042672114
FEMALE,0,22,0.28487626,0.3636094,-13.514742,29.69633353,1023,3039.338424,3723.778702,3,-0.39,1.71E-17,-0.499985514,0.499985514,0.26465905,0.346578315,-1.66E-05,0.00815344,9.21E-05,-0.016697297,0.054326992,0.357918857,3007.061585,23.89571979,0.052322092
FEMALE,1,24,0.33556777,0.18358338,-4.7887716,24.13115191,2851,2481.808475,2782.375616,17,0.28,-7.14E-18,-0.499984302,0.499984302,0.3223205,0.402221307,-0.000238458,0.00297635,0.00025903,-0.056293234,0.028690718,0.283925075,2112.443187,20.53068928,0.072156556
FEMALE,1,26,0.3081935,0.20221782,-11.038723,26.99468505,2767,2636.723444,3095.607502,14.5,-0.37,-3.04E-18,-0.499986634,0.499986634,0.23036392,0.244447539,-7.55E-07,0.002398446,6.94E-05,-0.09370544,0.038315397,0.339237714,2529.321056,21.22415593,0.070797548
FEMALE,1,27,0.3600234,0.17079633,-9.419213,25.38266647,2112,2583.660964,3298.549791,29,-0.31,-1.42E-17,-0.499988165,0.499988165,0.24112085,0.263955397,5.09E-06,0.004474862,0.000189856,-0.029404022,0.038086217,0.263820098,2525.279394,21.25100127,0.028631363
FEMALE,1,28,0.3517468,0.34299195,-14.604712,24.17194557,1568,3486.069613,2688.329502,3,-0.16,0,-0.499984721,0.499984721,0.26718438,0.385689658,-2.78E-06,-2.93E-05,5.22E-05,-0.028488964,0.010306353,0.153966512,2989.315399,19.89210364,0.014023925
